,Unnamed: 0,Movie Title,Gross Revenue (USD),Genre,tconst,Runtime (min),IMDB Rating,Worldwide Box Office (USD)
51,69,The Twilight Saga: Breaking Dawn - Part 2,"$292,298,923","Adventure, Drama, Fantasy",tt1673434,115.0,5.5,"$829,746,820"
52,70,Man of Steel,"$291,045,518","Action, Adventure, Sci-Fi",tt0770828,143.0,7.1,"$668,045,518"
53,71,The Hunger Games: Mockingjay - Part 2,"$281,723,902","Action, Adventure, Sci-Fi",tt1951266,137.0,6.6,"$658,344,137"
54,72,The Twilight Saga: Breaking Dawn - Part 1,"$281,287,133","Adventure, Drama, Fantasy",tt1324999,117.0,4.9,"$712,205,856"
55,73,Gravity,"$274,092,705","Drama, Sci-Fi, Thriller",tt1454468,91.0,7.7,"$723,192,705"
56,74,The Grinch,"$270,620,950","Animation, Comedy, Family",tt2709692,85.0,6.3,"$511,595,957"
57,75,Sing,"$270,395,425","Animation, Comedy, Family",tt3470600,108.0,7.1,"$634,151,679"
58,76,Monsters University,"$268,492,764","Animation, Adventure, Comedy",tt1453405,104.0,7.3,"$743,559,607"
59,77,Despicable Me 3,"$264,624,300","Animation, Adventure, Comedy",tt3469046,89.0,6.3,"$1,034,799,409"
60,78,The Amazing Spider-Man,"$262,030,663","Action, Adventure, Sci-Fi",tt0948470,136.0,7.0,"$757,930,663"
61,79,Captain America: The Winter Soldier,"$259,766,572","Action, Adventure, Sci-Fi",tt1843866,136.0,7.8,"$714,421,503"
62,80,The Hobbit: The Desolation of Smaug,"$258,366,855","Adventure, Fantasy",tt1170358,161.0,7.8,"$958,366,855"
63,81,The Lego Movie,"$257,760,692","Animation, Action, Adventure",tt1490017,100.0,7.8,"$468,060,692"
64,82,The Hobbit: The Battle of the Five Armies,"$255,119,788","Adventure, Fantasy",tt2310332,144.0,7.4,"$956,019,788"
65,83,The Hangover Part II,"$254,464,305",Comedy,tt1411697,102.0,6.5,"$586,764,305"
66,84,Despicable Me,"$251,513,985","Animation, Comedy, Family",tt1323594,95.0,7.7,"$543,113,985"
67,85,Moana,"$248,757,044","Animation, Adventure, Comedy",tt3521164,107.0,7.6,"$643,331,111"
68,86,Transformers: Age of Extinction,"$245,439,076","Action, Adventure, Sci-Fi",tt2109248,165.0,5.7,"$1,104,054,072"
69,87,Maleficent,"$241,410,378","Action, Adventure, Family",tt1587310,97.0,7.0,"$758,410,378"
70,88,Pirates of the Caribbean: On Stranger Tides,"$241,063,875","Action, Adventure, Fantasy",tt1298650,136.0,6.6,"$1,045,713,802"
71,89,Shrek Forever After,"$238,371,987","Animation, Adventure, Comedy",tt0892791,93.0,6.3,"$752,600,867"
72,90,Brave,"$237,283,207","Animation, Adventure, Comedy",tt1217209,93.0,7.1,"$538,983,207"
73,92,Oz the Great and Powerful,"$234,911,825","Adventure, Family, Fantasy",tt1623205,130.0,6.3,"$493,311,825"
74,93,Fantastic Beasts and Where to Find Them,"$234,037,575","Adventure, Family, Fantasy",tt3183660,132.0,7.3,"$814,037,575"
75,94,X-Men: Days of Future Past,"$233,921,534","Action, Adventure, Sci-Fi",tt1877832,132.0,8.0,"$746,045,700"
76,95,Doctor Strange,"$232,641,920","Action, Adventure, Fantasy",tt1211837,115.0,7.5,"$677,718,395"
77,96,Justice League,"$229,024,295","Action, Adventure, Fantasy",tt0974015,120.0,6.5,"$657,924,295"
78,97,Star Trek Into Darkness,"$228,778,661","Action, Adventure, Sci-Fi",tt1408101,132.0,7.7,"$467,365,246"
79,98,The Martian,"$228,433,663","Adventure, Drama, Sci-Fi",tt3659388,144.0,8.0,"$630,161,890"
80,99,Logan,"$226,277,068","Action, Drama, Sci-Fi",tt1483010,94.0,6.2,"$619,021,436"
81,103,The Fate of the Furious,"$226,008,385","Action, Adventure, Crime",tt4630562,136.0,6.7,"$1,236,005,118"
82,104,Big Hero 6,"$222,527,828","Animation, Action, Adventure",tt2245084,102.0,7.8,"$657,827,828"
83,105,Mission: Impossible - Fallout,"$220,159,104","Action, Adventure, Thriller",tt4912910,147.0,7.8,"$791,115,104"
84,106,Ted,"$218,815,487",Comedy,tt1637725,106.0,6.9,"$549,368,315"
85,107,How to Train Your Dragon,"$217,581,231","Animation, Action, Adventure",tt0892769,98.0,8.1,"$494,878,759"
86,108,Ant-Man and the Wasp,"$216,648,740","Action, Adventure, Comedy",tt5095030,118.0,7.1,"$622,674,139"
87,109,Bohemian Rhapsody,"$216,428,042","Biography, Drama, Music",tt1727824,134.0,8.0,"$903,655,259"
88,110,Madagascar 3: Europe's Most Wanted,"$216,391,482","Animation, Adventure, Comedy",tt1277953,93.0,6.8,"$746,921,274"
89,111,A Star Is Born,"$215,288,866","Drama, Music, Romance",tt1517451,136.0,7.8,"$436,188,866"
90,112,The Lorax,"$214,030,500","Animation, Adventure, Comedy",tt1482459,86.0,6.4,"$348,840,316"
91,113,Solo: A Star Wars Story,"$213,767,512","Action, Adventure, Sci-Fi",tt3778644,135.0,7.0,"$392,924,807"
92,114,Venom,"$213,515,506","Action, Adventure, Sci-Fi",tt1270797,112.0,6.7,"$856,085,151"
93,116,Fast Five,"$209,837,675","Action, Adventure, Crime",tt1596343,130.0,7.3,"$626,137,675"
94,117,Coco,"$209,726,015","Animation, Adventure, Family",tt2380307,105.0,8.4,"$807,082,196"
95,119,Mission: Impossible - Ghost Protocol,"$209,397,903","Action, Adventure, Thriller",tt1229238,132.0,7.4,"$694,713,380"
96,120,Dawn of the Planet of the Apes,"$208,545,589","Action, Adventure, Drama",tt2103281,130.0,7.6,"$710,644,566"
97,121,Thor: The Dark World,"$206,362,140","Action, Adventure, Fantasy",tt1981115,112.0,6.9,"$644,783,140"
98,122,The Amazing Spider-Man 2,"$202,853,933","Action, Adventure, Sci-Fi",tt1872181,142.0,6.6,"$708,982,323"
99,123,World War Z,"$202,359,711","Action, Adventure, Horror",tt0816711,116.0,7.0,"$540,007,876"
100,124,Cinderella,"$201,151,353","Drama, Family, Fantasy",tt1661199,105.0,6.9,"$542,351,353"
