,Movie Title,Gross Revenue (USD),Genre
1109,Dark Skies,"$17,411,930","Horror, Sci-Fi, Thriller"
1110,Chappaquiddick,"$17,395,520","Drama, History, Thriller"
1111,Addicted,"$17,382,982","Drama, Thriller"
1112,Masterminds,"$17,356,894","Comedy, Crime"
1113,A Haunted House 2,"$17,329,486","Comedy, Fantasy"
1114,Brightburn,"$17,300,439","Drama, Horror, Mystery"
1115,The Glass Castle,"$17,273,059","Biography, Drama"
1116,A Most Wanted Man,"$17,237,244","Crime, Drama, Thriller"
1117,Wanderlust,"$17,225,675","Comedy, Romance"
1118,Seventh Son,"$17,223,265","Action, Adventure, Fantasy"
1119,Safe,"$17,142,080","Action, Crime, Thriller"
1120,Norm of the North,"$17,017,118","Animation, Adventure, Comedy"
1121,The Counselor,"$16,973,715","Crime, Drama, Thriller"
1122,The Thing,"$16,928,670","Horror, Mystery, Sci-Fi"
1123,The Farewell,"$16,877,010","Comedy, Drama"
1124,Flatliners,"$16,866,403","Drama, Horror, Mystery"
1125,The Kid Who Would Be King,"$16,790,790","Action, Adventure, Family"
1126,Detroit,"$16,790,139","Crime, Drama, History"
1127,To Rome with Love,"$16,685,867","Comedy, Music, Romance"
1128,Missing Link,"$16,649,539","Animation, Adventure, Comedy"
1129,Mary Queen of Scots,"$16,468,499","Biography, Drama, History"
1130,Monkey Kingdom,"$16,427,836",Documentary
1131,The Master,"$16,377,274",Drama
1132,Forever My Girl,"$16,376,066","Drama, Music, Romance"
1133,Young Adult,"$16,311,571","Comedy, Drama"
1134,Begin Again,"$16,170,632","Comedy, Drama, Music"
1135,Jobs,"$16,117,443","Biography, Drama"
1136,Fruitvale Station,"$16,097,842","Biography, Crime, Drama"
1137,The Transporter Refueled,"$16,029,670","Action, Adventure, Thriller"
1138,The Raven,"$16,008,272","Crime, Mystery, Thriller"
1139,The Single Moms Club,"$15,986,272","Comedy, Drama"
1140,Mortal Engines,"$15,951,040","Action, Adventure, Fantasy"
1141,The Birth of a Nation,"$15,858,754","Biography, Drama, History"
1142,Devil's Due,"$15,818,967","Horror, Mystery, Thriller"
1143,Eddie the Eagle,"$15,785,632","Biography, Comedy, Drama"
1144,Hunter Killer,"$15,767,460","Action, Adventure, Thriller"
1145,The Man with the Iron Fists,"$15,634,090",Action
1146,A Beautiful Planet,"$15,552,381",Documentary
1147,The Ghost Writer,"$15,541,549","Drama, Mystery, Thriller"
1148,Late Night,"$15,499,454","Comedy, Drama"
1149,The Infiltrator,"$15,425,870","Biography, Crime, Drama"
1150,African Cats,"$15,415,270","Documentary, Adventure"
1151,About Time,"$15,322,921","Comedy, Drama, Fantasy"
1152,The Last Exorcism 2,"$15,179,302","Horror, Thriller"
1153,And So It Goes,"$15,155,772","Comedy, Drama, Romance"
1154,Killing Them Softly,"$15,026,056","Crime, Drama, Thriller"
1155,Seven Psychopaths,"$15,024,049","Comedy, Crime"
1156,Miss Bala,"$15,006,824","Action, Crime, Drama"
1157,Judy Moody and the Not Bummer Summer,"$15,000,994","Comedy, Family"
1158,If Beale Street Could Talk,"$14,915,773","Drama, Romance"
1159,Step Up All In,"$14,904,384","Drama, Music, Romance"
1160,Keeping Up with the Joneses,"$14,896,798","Action, Comedy"
1161,The Prodigy,"$14,856,291","Horror, Thriller"
1162,The Girl in the Spider's Web,"$14,841,338","Action, Crime, Drama"
1163,The Possession of Hannah Grace,"$14,837,422","Horror, Mystery, Thriller"
1164,The Case for Christ,"$14,678,714","Biography, Drama"
1165,Room,"$14,677,674","Drama, Thriller"
1166,It Follows,"$14,673,301","Horror, Mystery, Thriller"
1167,My Soul to Take,"$14,637,490","Horror, Mystery, Thriller"
1168,Beyond the Lights,"$14,618,727","Drama, Music, Romance"
1169,My Week with Marilyn,"$14,600,347","Biography, Drama"
1170,To the Arctic 3D,"$14,550,397",Documentary
1171,Big Eyes,"$14,479,776","Biography, Crime, Drama"
1172,America: Imagine the World Without Her,"$14,444,502",Documentary
1173,"Hello, My Name Is Doris","$14,443,077","Comedy, Drama, Romance"
1174,America!,"$14,440,708","Short, Comedy"
1175,American Ultra,"$14,434,604","Action, Comedy"
1176,Woodlawn,"$14,393,862","Drama, Sport"
1177,Lockout,"$14,326,864","Action, Adventure, Sci-Fi"
1178,Wish Upon,"$14,301,505","Drama, Fantasy, Horror"
1179,Criminal,"$14,268,533","Action, Sci-Fi, Thriller"
1180,The Edge of Seventeen,"$14,260,193","Comedy, Drama"
1181,Spring Breakers,"$14,123,773","Crime, Drama"
1182,Borg vs. McEnroe,"$14,113,354","Biography, Drama, Sport"
1183,RBG,"$14,017,361","Documentary, Biography"
1184,Love & Friendship,"$14,013,564","Comedy, Drama, Romance"
1185,What's Your Number?,"$14,008,193","Comedy, Romance"
1186,Left Behind,"$13,998,282","Action, Drama, Fantasy"
1187,It Comes At Night,"$13,985,117","Horror, Mystery"
1188,Jackie,"$13,958,679","Biography, Drama, History"
1189,The Cool Kids,"$13,920,018",Thriller
1190,One Day,"$13,843,771","Drama, Romance"
1191,Born in China,"$13,830,237",Documentary
1192,Repo Men,"$13,794,835","Action, Sci-Fi, Thriller"
1193,Sin City: A Dame to Kill For,"$13,757,804","Action, Crime, Thriller"
1194,Hit and Run,"$13,746,550","Action, Comedy"
1195,Warrior,"$13,657,115","Drama, Sport"
1196,Burnt,"$13,650,738","Comedy, Drama"
1197,Poms,"$13,631,124","Comedy, Drama, Sport"
1198,Eighth Grade,"$13,539,709","Comedy, Drama"
1199,Dredd,"$13,414,714","Action, Crime, Sci-Fi"
1200,Megan Leavey,"$13,406,304","Biography, Drama, War"
1201,Labor Day,"$13,362,308","Drama, Romance, Thriller"
1202,The Tree of Life,"$13,303,319","Drama, Fantasy"
1203,Inside Llewyn Davis,"$13,235,319","Comedy, Drama, Music"
1204,The Intouchables,"$13,182,281","Biography, Comedy, Drama"
1205,The Peanut Butter Falcon,"$13,122,642","Comedy, Drama, Sport"
1206,Playing for Keeps,"$13,101,142","Comedy, Romance, Sport"
1207,The Rum Diary,"$13,100,042","Comedy, Drama"
1208,Hillary's America: The Secret History of the Democratic Party,"$13,096,535","Documentary, Biography, History"
1209,Whiplash,"$13,092,000","Drama, Music"
1210,Do You Believe?,"$12,985,267",Drama
1211,The Collection,"$12,842,058","Action, Adventure, Crime"
1212,Anna Karenina,"$12,816,367","Drama, Romance"
1213,Beasts of the Southern Wild,"$12,795,746","Adventure, Drama, Fantasy"
1214,The Founder,"$12,786,053","Biography, Drama"
1215,Carol,"$12,711,491","Drama, Romance"
1216,The Darkest Minds,"$12,695,691","Action, Adventure, Drama"
1217,Battle of the Sexes,"$12,638,526","Biography, Comedy, Drama"
1218,Triple 9,"$12,626,905","Action, Crime, Thriller"
1219,Silent House,"$12,555,230","Drama, Horror, Mystery"
1220,Love & Mercy,"$12,547,189","Biography, Drama, Music"
1221,The Light Between Oceans,"$12,545,979","Drama, Romance"
1222,Cirque du Soleil: Worlds Away,"$12,495,865",Fantasy
1223,Ostavljeni,"$12,442,574","Crime, Drama"
1224,Strange Magic,"$12,427,046","Animation, Adventure, Comedy"
1225,People Like Us,"$12,412,386","Comedy, Drama"
1226,Dangal,"$12,391,761","Action, Biography, Drama"
1227,Three Identical Strangers,"$12,320,845","Documentary, Biography, Drama"
1228,Hot Tub Time Machine 2,"$12,282,677","Comedy, Mystery, Sci-Fi"
1229,Self/less,"$12,276,810","Action, Mystery, Sci-Fi"
1230,Before I Fall,"$12,230,791","Drama, Fantasy, Mystery"
1231,Far from the Madding Crowd,"$12,229,314","Drama, Romance"
1232,The 33,"$12,188,642","Biography, Drama, History"
1233,After,"$12,138,565","Drama, Romance"
1234,Let Me In,"$12,134,420","Drama, Fantasy, Horror"
1235,Foxcatcher,"$12,096,300","Biography, Drama, Sport"
1236,The Last Stand,"$12,050,299","Action, Thriller"
1237,The Kitchen,"$12,049,257","Action, Crime, Drama"
1238, Markiplier,"$12,000,000","Short, Comedy, Talk-Show"
1239,Upgrade,"$11,977,130","Action, Horror, Sci-Fi"
1240,"Roman J. Israel, Esq.","$11,962,712","Crime, Drama, Thriller"
1241,Blinded by the Light,"$11,901,145","Comedy, Drama, Music"
1242,Glee: The 3D Concert Movie,"$11,860,839","Documentary, Music"
1243,Extraordinary Measures,"$11,854,694",Drama
1244,Padmaavat,"$11,846,060","Drama, History, Romance"
1245,Fifty Shades of Black,"$11,675,178",Comedy
1246,Gone,"$11,653,123","Action, Adventure, Mystery"
1247,The Conspirator,"$11,538,204","Crime, Drama, History"
1248,No manches Frida,"$11,514,388","Comedy, Romance"
1249,The Words,"$11,494,838","Drama, Mystery, Romance"
1250,Out of the Furnace,"$11,326,836","Action, Crime, Drama"
1251,The Old Man & the Gun,"$11,277,120","Biography, Comedy, Crime"
1252,Unforgettable,"$11,274,490","Drama, Thriller"
1253,Island of Lemurs: Madagascar,"$11,258,885","Documentary, Short, Adventure"
1254,Jane Eyre,"$11,242,660","Drama, Romance"
1255,The Danish Girl,"$11,114,018","Biography, Drama, Romance"
1256,Dead Awake,"$11,108,321","Horror, Thriller"
1257,Hell Fest,"$11,107,431","Horror, Thriller"
1258,Café Society,"$11,103,205","Comedy, Drama, Romance"
1259,Pride and Prejudice and Zombies,"$10,907,291","Action, Comedy, Fantasy"
1260,Dead Man Down,"$10,880,926","Action, Crime, Drama"
1261,Welcome to Marwen,"$10,763,520","Biography, Comedy, Drama"
1262,The Darkness,"$10,732,841","Horror, Thriller"
1263,Belle,"$10,726,630","Biography, Drama, Romance"
1264,The Drop,"$10,724,389","Crime, Drama, Thriller"
1265,Drive Angry,"$10,706,786","Action, Fantasy, Thriller"
1266,The Gunman,"$10,640,645","Action, Crime, Drama"
1267,Nocturnal Animals,"$10,639,114","Drama, Thriller"
1268,PK,"$10,616,104","Comedy, Drama, Fantasy"
1269,The Beguiled,"$10,576,669","Drama, Thriller"
1270,Jonah Hex,"$10,539,414","Action, Drama, Fantasy"
1271,Greta,"$10,519,425","Drama, Mystery, Thriller"
1272,Sabotage,"$10,508,518","Action, Drama, Thriller"
1273,Magic in the Moonlight,"$10,506,939","Comedy, Drama, Romance"
1274,Getaway,"$10,494,494","Action, Crime, Thriller"
1275,Moms' Night Out,"$10,429,707",Comedy
1276,Live by Night,"$10,377,558","Action, Crime, Drama"
1277,Straw Dogs,"$10,324,441","Action, Drama, Thriller"
1278,The Miracle Season,"$10,225,770","Drama, Sport"
1279,Unfinished Business,"$10,214,013","Comedy, Drama"
1280,The Best of Enemies,"$10,205,616","Biography, Drama, History"
1281,Win Win,"$10,179,275","Comedy, Drama, Sport"
1282,The Belko Experiment,"$10,164,675","Horror, Thriller"
1283,Hoodwinked Too! Hood vs. Evil,"$10,143,779","Animation, Comedy, Crime"
1284,The Walk,"$10,137,502","Adventure, Biography, Drama"
1285,Prom,"$10,130,219","Comedy, Drama, Family"
1286,Marshall,"$10,051,659","Biography, Crime, Drama"
1287,The Lady in the Van,"$10,017,675","Biography, Comedy, Drama"
1288,Blue Valentine,"$9,737,892","Drama, Romance"
1289,I Don't Know How She Does It,"$9,659,074","Comedy, Romance"
1290,The Perfect Match,"$9,658,370","Comedy, Romance"
1291,Hotel Mumbai,"$9,651,611","Action, Drama, History"
1292,The Wife,"$9,601,092",Drama
1293,The Girl on the Train,"$9,573,000","Action, Thriller"
1294,Midnight Sun,"$9,561,064","Drama, Romance"
1295,Fair Game,"$9,528,092","Biography, Drama, Thriller"
1296,Bullet to the Head,"$9,483,821","Action, Crime, Thriller"
1297,Thank You for Your Service,"$9,467,000","Biography, Drama, War"
1298,Rock Dog,"$9,404,922","Animation, Adventure, Comedy"
1299,Fun Size,"$9,402,410","Adventure, Comedy"
1300,Popstar: Never Stop Never Stopping,"$9,393,835","Comedy, Music"
1301,No Manches Frida 2,"$9,270,920",Comedy
1302,Hardcore Henry,"$9,252,038","Action, Adventure, Sci-Fi"
1303,Tully,"$9,227,130","Comedy, Drama, Mystery"
1304,Bernie,"$9,203,192","Biography, Comedy, Crime"
1305,"Where'd You Go, Bernadette","$9,198,356","Comedy, Drama"
1306,Traffik,"$9,186,156","Action, Crime, Drama"
1307,Peeples,"$9,123,834","Comedy, Romance"
1308,Meet the Blacks,"$9,093,856","Comedy, Horror"
1309,Huevos: Little Rooster's Egg-cellent Adventure,"$9,069,010","Animation, Adventure, Comedy"
1310,Apollo 11,"$9,039,891","Documentary, History"
1311,Salmon Fishing in the Yemen,"$9,025,107","Comedy, Drama, Romance"
1312,Brave New Jersey,"$8,918,944",Comedy
1313,Battle of the Year,"$8,888,355","Drama, Music"
1314,Movie 43,"$8,828,771",Comedy
1315,Queen of Katwe,"$8,805,918","Biography, Drama, Sport"
1316,Can You Ever Forgive Me?,"$8,803,865","Biography, Comedy, Crime"
1317,Unfriended: Dark Web,"$8,783,985","Horror, Mystery, Thriller"
1318,The Lobster,"$8,699,235","Comedy, Drama, Romance"
1319,Coconut the Little Dragon 2: Into the Jungle,"$8,603,711","Animation, Adventure, Comedy"
1320,Adam Green's Aladdin,"$8,600,000","Adventure, Comedy, Drama"
1321,The Lost City of Z,"$8,580,410","Biography, Drama, History"
1322,Ratchet & Clank,"$8,549,740","Animation, Action, Adventure"
1323,Serenity,"$8,547,045","Drama, Mystery, Thriller"
1324,The Quiet Ones,"$8,496,112","Horror, Mystery, Thriller"
1325,Legends of Oz: Dorothy's Return,"$8,462,027","Animation, Adventure, Family"
1326,MacGruber,"$8,460,995","Action, Comedy, Romance"
1327,Amy,"$8,413,144","Documentary, Biography, Music"
1328,Mandela: Long Walk to Freedom,"$8,323,085","Biography, Drama, History"
1329,Johnny English Reborn,"$8,305,970","Action, Adventure, Comedy"
1330,Early Man,"$8,267,544","Animation, Adventure, Comedy"
1331,Higher Power,"$8,234,245","Action, Sci-Fi, Thriller"
1332,Bajrangi Bhaijaan,"$8,178,001","Action, Comedy, Drama"
1333,Before Midnight,"$8,114,627","Drama, Romance"
1334,Inherent Vice,"$8,110,975","Comedy, Crime, Drama"
1335,A Cure for Wellness,"$8,106,986","Drama, Fantasy, Horror"
1336,The Death of Stalin,"$8,041,828","Comedy, Drama, History"
1337,Dhoom 3,"$8,031,955","Action, Thriller"
1338,"Dragon Ball Z: Resurrection ""F""","$8,008,363","Animation, Action, Adventure"
1339,Machete Kills,"$8,008,161","Action, Crime, Thriller"
1340,Jerusalem,"$7,993,108",Documentary
1341,The Wild Life,"$7,965,609","Animation, Adventure, Comedy"
1342,Arbitrage,"$7,918,283","Drama, Thriller"
1343,Sanju,"$7,909,317","Biography, Drama"
1344,The Space Between Us,"$7,885,294","Drama, Romance, Sci-Fi"
1345,Trumbo,"$7,857,741","Biography, Drama"
1346,A Broken Code,"$7,853,000","Crime, Drama, Thriller"
1347,Vampire Academy,"$7,791,979","Action, Comedy, Drama"
1348,Bad Words,"$7,764,027","Comedy, Drama"
1349,Anna,"$7,743,794","Action, Thriller"
1350,Unsane,"$7,732,899","Drama, Horror, Mystery"
1351,Kevin Hart: Laugh at My Pain,"$7,706,436","Documentary, Comedy"
1352,Penguins,"$7,699,452","Documentary, Family"
1353,Loving,"$7,696,098","Biography, Drama, Romance"
1354,Elle s'appelait Sarah,"$7,691,700","Drama, War"
1355,We Have Always Lived in the Castle,"$7,668,933","Drama, Mystery, Thriller"
1356,Beautiful Boy,"$7,649,973","Biography, Drama"
1357,Journey to the South Pacific,"$7,647,100",Documentary
1358,Mortdecai,"$7,605,668","Action, Adventure, Comedy"
1359,Promised Land,"$7,597,898",Drama
1360,While We're Young,"$7,574,066","Comedy, Drama, Mystery"
1361,Barney's Version,"$7,502,560","Comedy, Drama"
1362,Cyrus,"$7,455,447","Comedy, Drama, Romance"
1363,Disconnect,"$7,435,950","Drama, Thriller"
1364,I'll See You in My Dreams,"$7,425,963","Comedy, Drama, Romance"
1365,Paranoia,"$7,376,027","Drama, Thriller"
1366,Mid90s,"$7,362,439","Comedy, Drama"
1367,Bébé(s),"$7,291,384",Documentary
1368,Friends with Kids,"$7,250,054","Comedy, Drama, Romance"
1369,Let There Be Light,"$7,231,896",Drama
1370,Gold,"$7,222,964","Crime, Drama"
1371,The Big Year,"$7,204,138",Comedy
1372,The Green Inferno,"$7,192,291","Adventure, Horror"
1373,The Little Mermaid,"$7,147,175","Adventure, Drama, Fantasy"
1374,I Am Not Your Negro,"$7,120,626",Documentary
1375,Beatriz at Dinner,"$7,115,854","Comedy, Drama"
1376,Silence,"$7,100,177","Drama, History"
1377,A Separation,"$7,098,492",Drama
1378,Blackhat,"$7,097,125","Action, Crime, Thriller"
1379,Black Nativity,"$7,017,178","Drama, Family, Music"
1380,Our Brand Is Crisis,"$6,998,324","Comedy, Drama"
1381,Grandma,"$6,980,421","Comedy, Drama"
1382,Take Me Home Tonight,"$6,923,891","Comedy, Drama, Romance"
1383,Birth of the Dragon,"$6,901,965","Action, Biography, Drama"
1384,Shut In,"$6,883,951","Drama, Horror, Mystery"
1385,The Brothers Grimsby,"$6,864,016","Action, Adventure, Comedy"
1386,Cedar Rapids,"$6,857,503",Comedy
1387,Incendies,"$6,857,096","Drama, Mystery, War"
1388,The Spectacular Now,"$6,851,969","Comedy, Drama, Romance"
1389,Dog Days,"$6,809,080","Comedy, Drama, Romance"
1390,Boy Erased,"$6,788,692","Biography, Drama"
1391,Conviction,"$6,783,129","Biography, Crime, Drama"
1392,Me and Earl and the Dying Girl,"$6,743,776","Comedy, Drama"
1393,Amour,"$6,739,492","Drama, Romance"
1394,Baahubali: The Beginning,"$6,738,000","Action, Drama"
1395,Loving Vincent,"$6,735,118","Animation, Biography, Crime"
1396,Hotel Artemis,"$6,708,147","Action, Crime, Drama"
1397,The Snowman,"$6,670,765","Crime, Drama, Mystery"
1398,Seeking a Friend for the End of the World,"$6,619,173","Adventure, Comedy, Drama"
1399,Sea Rex 3D: Journey to a Prehistoric World,"$6,604,221","Documentary, Short"
1400,The Grandmaster,"$6,594,959","Action, Biography, Drama"
1401,The Dead Don't Die,"$6,563,605","Comedy, Fantasy, Horror"
1402,Bajirao Mastani,"$6,557,047","Action, Drama, History"
1403,Winter's Bone,"$6,531,503","Drama, Mystery"
1404,A-X-L,"$6,501,381","Action, Adventure, Family"
1405,The Young Messiah,"$6,462,576","Drama, Fantasy"
1406,Run the Race,"$6,424,420","Drama, Sport"
1407,Same Kind of Different as Me,"$6,423,605","Biography, Drama"
1408,Little Boy,"$6,420,319","Drama, History, War"
1409,Waiting for 'Superman',"$6,410,257",Documentary
1410,Cantinflas,"$6,370,412","Biography, Comedy, Drama"
1411,Hyde Park on Hudson,"$6,367,780","Biography, Comedy, Drama"
1412,Fahrenheit 11/9,"$6,352,306",Documentary
1413,It's Kind of a Funny Story,"$6,350,058","Comedy, Drama, Romance"
1414,Southside with You,"$6,303,853","Biography, Drama, History"
1415,All Is Lost,"$6,263,670","Action, Adventure, Drama"
1416,Unbroken: Path to Redemption,"$6,216,488","Biography, Drama, History"
1417,Master Z: The Ip Man Legacy,"$6,209,454","Action, Biography, Crime"
1418,Sultan,"$6,200,000","Action, Drama, Sport"
1419,Maudie,"$6,170,998","Biography, Drama, Romance"
1420,Lowriders,"$6,155,650","Adventure, Crime, Drama"
1421,The Hurricane Heist,"$6,115,825","Action, Adventure, Crime"
1422,The Interview,"$6,105,175","Action, Adventure, Comedy"
1423,Every Day,"$6,102,076","Drama, Fantasy, Romance"
1424,Just Getting Started,"$6,069,605","Comedy, Crime"
1425,Leave No Trace,"$6,046,104",Drama
1426,Hitchcock,"$6,008,677","Biography, Drama, Romance"
1427,Chasing Mavericks,"$6,002,756","Biography, Drama, Sport"
1428,The Sessions,"$6,002,451","Biography, Comedy, Drama"
1429,The Loft,"$5,981,749","Mystery, Romance, Thriller"
1430,Captive State,"$5,958,315","Action, Adventure, Drama"
1431,The Florida Project,"$5,904,366",Drama
1432,Casa de mi Padre,"$5,895,238","Comedy, Western"
1433,Death of a Nation,"$5,885,881","Documentary, History"
1434,Meet the Mormons,"$5,876,812",Documentary
1435,The Wandering Earth,"$5,875,487","Action, Sci-Fi"
1436,Captain Fantastic,"$5,875,006","Comedy, Drama"
1437,The Bling Ring,"$5,841,046","Biography, Crime, Drama"
1438,Pulling Strings,"$5,823,487","Comedy, Romance"
1439,All Saints,"$5,802,208",Drama
1440,Beginners,"$5,790,894","Comedy, Drama, Romance"
1441,Suburbicon,"$5,775,178","Comedy, Crime, Drama"
1442,Victor Frankenstein,"$5,775,076","Drama, Horror, Sci-Fi"
1443,My Hero Academia: Two Heroes,"$5,754,556","Animation, Action, Adventure"
1444,A Most Violent Year,"$5,740,310","Action, Crime, Drama"
1445,Orlando,"$5,736,750",Animation
1446,Closed Circuit,"$5,733,310","Crime, Drama, Mystery"
1447,God's Not Dead: A Light in Darkness,"$5,728,940",Drama
1448,Kin,"$5,718,096","Action, Adventure, Crime"
1449,A Dangerous Method,"$5,702,083","Biography, Drama, Romance"
1450,Flying Monsters 3D with David Attenborough,"$5,685,794",Documentary
1451,The Man Who Invented Christmas,"$5,676,486","Biography, Comedy, Drama"
1452,For Greater Glory: The True Story of Cristiada,"$5,669,081","Drama, History, War"
1453,The Warrior's Way,"$5,664,251","Action, Fantasy, Western"
1454,20th Century Women,"$5,663,855","Comedy, Drama"
1455,Paris Can Wait,"$5,617,731","Comedy, Drama, Romance"
1456,Gloria Bell,"$5,611,123","Comedy, Drama, Romance"
1457,2.0,"$5,570,000","Action, Sci-Fi"
1458,Gully Boy,"$5,566,534","Drama, Musical"
1459,Tiger Zinda Hai,"$5,560,921","Action, Adventure, Thriller"
1460,Cesar Chavez,"$5,550,866","Biography, Drama"
1461,A Day as Headmaster,"$5,500,000","Documentary, Short"
1462,Stan & Ollie,"$5,470,235","Biography, Comedy, Drama"
1463,The Guard,"$5,359,774","Comedy, Crime, Thriller"
1464,October Baby,"$5,355,847",Drama
1465,Margin Call,"$5,354,039","Drama, Thriller"
1466,Danny Collins,"$5,348,317","Biography, Comedy, Drama"
1467,The Goldfinch,"$5,332,621",Drama
1468,Won't Back Down,"$5,308,553",Drama
1469,Chennai Express,"$5,306,729","Action, Comedy"
1470,The Skeleton Twins,"$5,283,379","Comedy, Drama, Romance"
1471,Cave of Forgotten Dreams,"$5,234,785","Documentary, History"
1472,The Wind Rises,"$5,209,580","Animation, Biography, Drama"
1473,Hunt for the Wilderpeople,"$5,202,582","Adventure, Comedy, Drama"
1474,Colette,"$5,137,622","Biography, Drama, History"
1475,The Company You Keep,"$5,132,442","Drama, Thriller"
1476,Biutiful,"$5,101,237","Drama, Romance"
1477,Simmba,"$5,075,611","Action, Comedy, Drama"
1478,Action Point,"$5,059,608",Comedy
1479,The Mustang,"$5,043,620",Drama
1480,Beirut,"$5,019,226","Action, Drama, Thriller"
1481,Your Name.,"$5,017,246","Animation, Drama, Fantasy"
1482,Gringo,"$4,969,853","Action, Comedy, Crime"
1483,The Sun Is Also a Star,"$4,950,029","Drama, Music, Romance"
1484,Twenty Feet from Stardom,"$4,946,445","Documentary, Biography, Music"
1485,The Apparition,"$4,930,798","Horror, Thriller"
1486,Bleed for This,"$4,847,865","Biography, Drama, Sport"
1487,Dilwale,"$4,830,637","Action, Comedy, Drama"
1488,Bring The Soul: The Movie,"$4,809,800","Documentary, Music"
1489,I Got the Hook Up 2,"$4,795,000",Comedy
1490,Incarnate,"$4,790,573","Horror, Thriller"
1491,Atlas Shrugged: Part I,"$4,752,353","Drama, Mystery, Sci-Fi"
1492,Absolutely Fabulous: The Movie,"$4,750,497","Comedy, Crime"
1493,Samson,"$4,719,928","Action, Drama"
1494,True Story,"$4,715,819","Crime, Drama, Mystery"
1495,Hands of Stone,"$4,711,736","Biography, Drama, Sport"
1496,90 Minutes in Heaven,"$4,700,361",Drama
1497,Suffragette,"$4,693,356","Drama, History"
1498,Don't Let Go,"$4,686,540","Drama, Horror, Mystery"
1499,Fearless,"$4,632,616","Action, Comedy"
1500,Pavarotti,"$4,600,249","Documentary, Biography, Music"
1501,Cold War,"$4,572,545","Drama, History, Music"
1502,Snowpiercer,"$4,563,650","Action, Drama, Sci-Fi"
1503,Tolkien,"$4,535,154","Biography, Drama, Romance"
1504,Menteur,"$4,518,550",Comedy
1505,The Last Black Man in San Francisco,"$4,515,719",Drama
1506,Anonymous,"$4,463,292","Drama, Thriller"
1507,Amazing Grace,"$4,446,414","Documentary, Music"
1508,The Company Men,"$4,439,063",Drama
1509,The Railway Man,"$4,438,438","Biography, Drama, Romance"
1510,The Way,"$4,430,650","Comedy, Drama"
1511,Don't Think Twice,"$4,417,983","Comedy, Drama"
1512,Johnny English Strikes Again,"$4,412,170","Action, Adventure, Comedy"
1513,Dear White People,"$4,404,154","Comedy, Drama, Romance"
1514,Enthiran,"$4,373,898","Action, Sci-Fi"
1515,The Biggest Little Farm,"$4,366,949",Documentary
1516,Found a Treasure Called Love,"$4,364,639","Action, Drama, Musical"
1517,Gotti,"$4,343,227","Biography, Crime, Drama"
1518,Blindspotting,"$4,333,394","Comedy, Crime, Drama"
1519,Much Ado About Nothing,"$4,327,763","Comedy, Drama, Romance"
1520,Brian Banks,"$4,316,216","Biography, Drama, Sport"
1521,Inside Job,"$4,312,735","Documentary, Crime"
1522,The Meddler,"$4,265,673","Comedy, Drama, Romance"
1523,45 Years,"$4,250,507","Drama, Romance"
1524,"Jeff, Who Lives at Home","$4,244,155","Comedy, Drama"
1525,Ae Dil Hai Mushkil,"$4,237,741","Drama, Music, Musical"
1526,The Lunchbox,"$4,231,500","Drama, Romance"
1527,The Book of Henry,"$4,219,536","Crime, Drama, Thriller"
1528,Greenberg,"$4,216,789","Comedy, Drama, Romance"
1529,Stronger,"$4,211,129","Biography, Drama"
1530,Swiss Army Man,"$4,208,879","Comedy, Drama, Fantasy"
1531,A Hologram for the King,"$4,198,126","Comedy, Drama, Romance"
1532,The Water Diviner,"$4,190,530","Drama, History, War"
1533,Uri: The Surgical Strike,"$4,186,168","Action, Drama, War"
1534,Goon,"$4,168,144","Comedy, Drama, Sport"
1535,Ya veremos,"$4,165,949",Drama
1536,The Raid: Redemption,"$4,105,123","Action, Thriller"
1537,Life Itself,"$4,102,648","Drama, Romance"
1538,The Hero,"$4,077,333","Drama, Romance, Western"
1539,Denial,"$4,072,226","Biography, Drama"
1540,Frances Ha,"$4,063,238","Comedy, Drama, Romance"
1541,Replicas,"$4,046,429","Drama, Sci-Fi, Thriller"
1542,Bully,"$4,038,876",Documentary
1543,Please Give,"$4,033,268","Comedy, Drama"
1544,Irrational Man,"$4,027,764","Comedy, Drama, Romance"
1545,Buck,"$4,023,123",Documentary
1546,My Name Is Khan,"$4,018,695",Drama
1547,My Old Lady,"$4,011,530","Comedy, Drama, Romance"
1548,Safety Not Guaranteed,"$4,010,957","Comedy, Drama, Romance"
1549,Shame,"$4,000,304",Drama
1550,The Investigator,"$4,000,000","Drama, Family, Sport"
1551,Mr. X,"$3,990,899","Short, Adventure, Sci-Fi"
1552,Searching for Sugar Man,"$3,965,090","Documentary, Biography, Music"
1553,Mr. Turner,"$3,958,546","Biography, Drama, History"
1554,Des hommes et des dieux,"$3,954,651","Drama, History"
1555,Morgan,"$3,912,052","Action, Horror, Sci-Fi"
1556,The Assassin's Code,"$3,911,218","Action, Crime, Drama"
1557,A United Kingdom,"$3,901,302","Biography, Drama, History"
1558,The Man Who Knew Infinity,"$3,866,794","Biography, Drama"
1559,Sleight,"$3,847,290","Drama, Sci-Fi"
1560,Yeh Jawaani Hai Deewani,"$3,827,466","Drama, Musical, Romance"
1561,Ida,"$3,827,060",Drama
1562,Where to Invade Next,"$3,820,195","Documentary, Comedy"
1563,Max Steel,"$3,818,664","Action, Adventure, Family"
1564,Norman,"$3,810,812","Drama, Thriller"
1565,Batman: The Killing Joke,"$3,775,000","Animation, Action, Crime"
