,Movie Title,Gross Revenue (USD),Genre
89,Logan,"$226,277,068","Action, Drama, Sci-Fi"
90,The Fate of the Furious,"$226,008,385","Action, Adventure, Crime"
91,Big Hero 6,"$222,527,828","Animation, Action, Adventure"
92,Mission: Impossible - Fallout,"$220,159,104","Action, Adventure, Thriller"
93,Ted,"$218,815,487",Comedy
94,How to Train Your Dragon,"$217,581,231","Animation, Action, Adventure"
95,Ant-Man and the Wasp,"$216,648,740","Action, Adventure, Comedy"
96,Bohemian Rhapsody,"$216,428,042","Biography, Drama, Music"
97,Madagascar 3: Europe's Most Wanted,"$216,391,482","Animation, Adventure, Comedy"
98,A Star Is Born,"$215,288,866","Drama, Music, Romance"
99,The Lorax,"$214,030,500","Animation, Adventure, Comedy"
100,Solo: A Star Wars Story,"$213,767,512","Action, Adventure, Sci-Fi"
101,Venom,"$213,515,506","Action, Adventure, Sci-Fi"
102,It Chapter Two,"$211,593,228","Drama, Fantasy, Horror"
103,Fast Five,"$209,837,675","Action, Adventure, Crime"
104,Coco,"$209,726,015","Animation, Adventure, Family"
105,Mission: Impossible - Ghost Protocol,"$209,397,903","Action, Adventure, Thriller"
106,Dawn of the Planet of the Apes,"$208,545,589","Action, Adventure, Drama"
107,Thor: The Dark World,"$206,362,140","Action, Adventure, Fantasy"
108,The Amazing Spider-Man 2,"$202,853,933","Action, Adventure, Sci-Fi"
109,World War Z,"$202,359,711","Action, Adventure, Horror"
110,Cinderella,"$201,151,353","Drama, Family, Fantasy"
111,Ralph Breaks the Internet,"$201,091,711","Animation, Adventure, Comedy"
112,Tangled,"$200,821,936","Animation, Adventure, Comedy"
113,Godzilla,"$200,676,069","Action, Adventure, Sci-Fi"
114,Spectre,"$200,074,175","Action, Adventure, Thriller"
115,Mission: Impossible - Rogue Nation,"$195,042,377","Action, Adventure, Thriller"
116,22 Jump Street,"$191,719,337","Action, Comedy, Crime"
117,Cars 2,"$191,452,396","Animation, Adventure, Comedy"
118,Teenage Mutant Ninja Turtles,"$191,204,754","Action, Adventure, Comedy"
119,Spider-Man: Into the Spider-Verse,"$190,241,310","Animation, Action, Adventure"
120,Wreck-It Ralph,"$189,422,889","Animation, Adventure, Comedy"
121,Dunkirk,"$188,373,161","Action, Drama, History"
122,A Quiet Place,"$188,024,361","Drama, Horror, Sci-Fi"
123,Interstellar,"$188,020,017","Adventure, Drama, Sci-Fi"
124,The Croods,"$187,168,425","Animation, Action, Adventure"
125,Sherlock Holmes: A Game of Shadows,"$186,848,418","Action, Adventure, Mystery"
126,Pitch Perfect 2,"$184,296,230","Comedy, Music"
127,The Revenant,"$183,637,894","Action, Adventure, Biography"
128,Lincoln,"$182,207,973","Biography, Drama, History"
129,Thor,"$181,030,624","Action, Adventure, Fantasy"
130,Ant-Man,"$180,202,163","Action, Adventure, Comedy"
131,Men in Black 3,"$179,020,854","Action, Adventure, Comedy"
132,Home,"$177,397,510","Animation, Adventure, Comedy"
133,How to Train Your Dragon 2,"$177,002,924","Animation, Action, Adventure"
