,Movie Title,Genre,tconst,Runtime (min),IMDB Rating,Worldwide Box Office (USD),Domestic Box Office (USD),budget
69,Moana,"Animation, Adventure, Comedy",tt3521164,107.0,7.6,643331111,248757044,150000000
70,Transformers: Age of Extinction,"Action, Adventure, Sci-Fi",tt2109248,165.0,5.7,1104054072,245439076,210000000
71,Maleficent,"Action, Adventure, Family",tt1587310,97.0,7.0,758410378,241410378,180000000
72,Pirates of the Caribbean: On Stranger Tides,"Action, Adventure, Fantasy",tt1298650,136.0,6.6,1045713802,241063875,380000000
73,Shrek Forever After,"Animation, Adventure, Comedy",tt0892791,93.0,6.3,752600867,238371987,165000000
74,Brave,"Animation, Adventure, Comedy",tt1217209,93.0,7.1,538983207,237283207,185000000
75,Brave,"Animation, Adventure, Comedy",tt1217209,93.0,7.1,538983207,237283207,185000000
76,Oz the Great and Powerful,"Adventure, Family, Fantasy",tt1623205,130.0,6.3,493311825,234911825,200000000
77,Fantastic Beasts and Where to Find Them,"Adventure, Family, Fantasy",tt3183660,132.0,7.3,814037575,234037575,180000000
78,X-Men: Days of Future Past,"Action, Adventure, Sci-Fi",tt1877832,132.0,8.0,746045700,233921534,250000000
79,Doctor Strange,"Action, Adventure, Fantasy",tt1211837,115.0,7.5,677718395,232641920,165000000
80,Justice League,"Action, Adventure, Fantasy",tt0974015,120.0,6.5,657924295,229024295,300000000
81,Star Trek Into Darkness,"Action, Adventure, Sci-Fi",tt1408101,132.0,7.7,467365246,228778661,190000000
82,The Martian,"Adventure, Drama, Sci-Fi",tt3659388,144.0,8.0,630161890,228433663,108000000
83,Logan,"Action, Drama, Sci-Fi",tt1483010,94.0,6.2,619021436,226277068,135000
84,Logan,"Action, Drama, Sci-Fi",tt1483010,94.0,6.2,619021436,226277068,135000
85,The Fate of the Furious,"Action, Adventure, Crime",tt4630562,136.0,6.7,1236005118,226008385,250000000
86,Big Hero 6,"Animation, Action, Adventure",tt2245084,102.0,7.8,657827828,222527828,165000000
87,Mission: Impossible - Fallout,"Action, Adventure, Thriller",tt4912910,147.0,7.8,791115104,220159104,178000000
88,Ted,Comedy,tt1637725,106.0,6.9,549368315,218815487,50000000
89,How to Train Your Dragon,"Animation, Action, Adventure",tt0892769,98.0,8.1,494878759,217581231,165000000
90,Ant-Man and the Wasp,"Action, Adventure, Comedy",tt5095030,118.0,7.1,622674139,216648740,140000000
91,Bohemian Rhapsody,"Biography, Drama, Music",tt1727824,134.0,8.0,903655259,216428042,52000000
92,Madagascar 3: Europe's Most Wanted,"Animation, Adventure, Comedy",tt1277953,93.0,6.8,746921274,216391482,145000000
93,A Star Is Born,"Drama, Music, Romance",tt1517451,136.0,7.8,436188866,215288866,36000000
94,The Lorax,"Animation, Adventure, Comedy",tt1482459,86.0,6.4,348840316,214030500,70000000
95,Solo: A Star Wars Story,"Action, Adventure, Sci-Fi",tt3778644,135.0,7.0,392924807,213767512,250000000
96,Venom,"Action, Adventure, Sci-Fi",tt1270797,112.0,6.7,856085151,213515506,116000000
97,Fast Five,"Action, Adventure, Crime",tt1596343,130.0,7.3,626137675,209837675,125000000
98,Coco,"Animation, Adventure, Family",tt2380307,105.0,8.4,807082196,209726015,175000000
99,Mission: Impossible - Ghost Protocol,"Action, Adventure, Thriller",tt1229238,132.0,7.4,694713380,209397903,145000000
100,Dawn of the Planet of the Apes,"Action, Adventure, Drama",tt2103281,130.0,7.6,710644566,208545589,170000000
101,Thor: The Dark World,"Action, Adventure, Fantasy",tt1981115,112.0,6.9,644783140,206362140,170000000
102,The Amazing Spider-Man 2,"Action, Adventure, Sci-Fi",tt1872181,142.0,6.6,708982323,202853933,200000000
103,World War Z,"Action, Adventure, Horror",tt0816711,116.0,7.0,540007876,202359711,200000000
104,Cinderella,"Drama, Family, Fantasy",tt1661199,105.0,6.9,542351353,201151353,95000000
105,Ralph Breaks the Internet,"Animation, Adventure, Comedy",tt5848272,112.0,7.1,529323962,201091711,175000000
106,Tangled,"Animation, Adventure, Comedy",tt0398286,100.0,7.8,592461732,200821936,260000000
107,Godzilla,"Action, Adventure, Sci-Fi",tt0831387,123.0,6.4,524976069,200676069,160000000
108,Spectre,"Action, Adventure, Thriller",tt2379713,148.0,6.8,880674609,200074175,245000000
109,Mission: Impossible - Rogue Nation,"Action, Adventure, Thriller",tt2381249,131.0,7.4,682714267,195042377,150000000
110,22 Jump Street,"Action, Comedy, Crime",tt2294449,112.0,7.0,331333876,191719337,50000000
111,Cars 2,"Animation, Adventure, Comedy",tt1216475,106.0,6.2,559852396,191452396,200000000
112,Teenage Mutant Ninja Turtles,"Action, Adventure, Comedy",tt1291150,101.0,5.8,485004754,191204754,125000000
113,Spider-Man: Into the Spider-Verse,"Animation, Action, Adventure",tt4633694,117.0,8.5,375540831,190241310,90000000
114,Wreck-It Ralph,"Animation, Adventure, Comedy",tt1772341,101.0,7.7,471222889,189422889,165000000
115,Dunkirk,"Action, Drama, History",tt5013056,106.0,7.9,525245546,188373161,100000000
116,Interstellar,"Adventure, Drama, Sci-Fi",tt0816692,169.0,8.6,677463813,188020017,165000000
117,The Croods,"Animation, Action, Adventure",tt0481499,98.0,7.2,587204668,187168425,135000000
118,Sherlock Holmes: A Game of Shadows,"Action, Adventure, Mystery",tt1515091,129.0,7.5,543848418,186848418,125000000
119,Pitch Perfect 2,"Comedy, Music",tt2848292,115.0,6.4,287144079,184296230,29000000
120,The Revenant,"Action, Adventure, Biography",tt1663202,156.0,8.0,532950503,183637894,135000000
121,Lincoln,"Biography, Drama, History",tt0443272,150.0,7.4,275293450,182207973,65000000
122,Thor,"Action, Adventure, Fantasy",tt0800369,115.0,7.0,449326618,181030624,150000000
123,Ant-Man,"Action, Adventure, Comedy",tt0478970,117.0,7.3,519311965,180202163,130000000
124,Men in Black 3,"Action, Adventure, Comedy",tt1409024,106.0,6.8,624026776,179020854,225000000
125,Home,"Animation, Adventure, Comedy",tt2075392,76.0,6.0,386041607,177397510,0
126,How to Train Your Dragon 2,"Animation, Action, Adventure",tt1646971,102.0,7.8,621537519,177002924,145000000
127,Rise of the Planet of the Apes,"Action, Drama, Sci-Fi",tt1318514,105.0,7.6,481800873,176760185,93000000
128,Captain America: The First Avenger,"Action, Adventure, Sci-Fi",tt0458339,124.0,6.9,370569774,176654505,140000000
129,The Karate Kid,"Action, Drama, Family",tt1155076,140.0,6.2,359126022,176591618,40000000
130,Get Out,"Horror, Mystery, Thriller",tt5052448,104.0,7.7,255407969,176040665,4500000
131,The Lego Batman Movie,"Animation, Action, Comedy",tt4116284,104.0,7.3,311950384,175750384,80000000
132,Us,"Horror, Mystery, Thriller",tt2708782,92.0,5.3,255184580,175084580,600000
133,The Boss Baby,"Animation, Adventure, Comedy",tt3874544,97.0,6.3,527965936,175003033,125000000
134,Crazy Rich Asians,"Comedy, Drama, Romance",tt3104988,120.0,7.0,238532921,174532921,30000000
135,The Greatest Showman,"Biography, Drama, Musical",tt1485796,105.0,7.6,434993183,174340174,84000000
136,Pirates of the Caribbean: Dead Men Tell No Tales,"Action, Adventure, Fantasy",tt1790809,129.0,6.6,794861794,172558876,230000000
