,Movie Title,Gross Revenue (USD),Genre,Runtime (min),IMDB Rating
93,Fantastic Beasts and Where to Find Them,"$234,037,575","Adventure, Family, Fantasy",132.0,7.3
94,X-Men: Days of Future Past,"$233,921,534","Action, Adventure, Sci-Fi",132.0,8.0
95,Doctor Strange,"$232,641,920","Action, Adventure, Fantasy",115.0,7.5
96,Justice League,"$229,024,295","Action, Adventure, Fantasy",120.0,6.5
97,Star Trek Into Darkness,"$228,778,661","Action, Adventure, Sci-Fi",132.0,7.7
98,The Martian,"$228,433,663","Adventure, Drama, Sci-Fi",144.0,8.0
99,Logan,"$226,277,068","Action, Drama, Sci-Fi",94.0,6.2
103,The Fate of the Furious,"$226,008,385","Action, Adventure, Crime",136.0,6.7
104,Big Hero 6,"$222,527,828","Animation, Action, Adventure",102.0,7.8
105,Mission: Impossible - Fallout,"$220,159,104","Action, Adventure, Thriller",147.0,7.8
106,Ted,"$218,815,487",Comedy,106.0,6.9
107,How to Train Your Dragon,"$217,581,231","Animation, Action, Adventure",98.0,8.1
108,Ant-Man and the Wasp,"$216,648,740","Action, Adventure, Comedy",118.0,7.1
109,Bohemian Rhapsody,"$216,428,042","Biography, Drama, Music",134.0,8.0
110,Madagascar 3: Europe's Most Wanted,"$216,391,482","Animation, Adventure, Comedy",93.0,6.8
111,A Star Is Born,"$215,288,866","Drama, Music, Romance",136.0,7.8
112,The Lorax,"$214,030,500","Animation, Adventure, Comedy",86.0,6.4
113,Solo: A Star Wars Story,"$213,767,512","Action, Adventure, Sci-Fi",135.0,7.0
114,Venom,"$213,515,506","Action, Adventure, Sci-Fi",112.0,6.7
116,Fast Five,"$209,837,675","Action, Adventure, Crime",130.0,7.3
117,Coco,"$209,726,015","Animation, Adventure, Family",105.0,8.4
119,Mission: Impossible - Ghost Protocol,"$209,397,903","Action, Adventure, Thriller",132.0,7.4
120,Dawn of the Planet of the Apes,"$208,545,589","Action, Adventure, Drama",130.0,7.6
121,Thor: The Dark World,"$206,362,140","Action, Adventure, Fantasy",112.0,6.9
122,The Amazing Spider-Man 2,"$202,853,933","Action, Adventure, Sci-Fi",142.0,6.6
123,World War Z,"$202,359,711","Action, Adventure, Horror",116.0,7.0
124,Cinderella,"$201,151,353","Drama, Family, Fantasy",105.0,6.9
125,Ralph Breaks the Internet,"$201,091,711","Animation, Adventure, Comedy",112.0,7.1
126,Tangled,"$200,821,936","Animation, Adventure, Comedy",100.0,7.8
127,Godzilla,"$200,676,069","Action, Adventure, Sci-Fi",123.0,6.4
128,Spectre,"$200,074,175","Action, Adventure, Thriller",148.0,6.8
129,Mission: Impossible - Rogue Nation,"$195,042,377","Action, Adventure, Thriller",131.0,7.4
130,22 Jump Street,"$191,719,337","Action, Comedy, Crime",112.0,7.0
131,Cars 2,"$191,452,396","Animation, Adventure, Comedy",106.0,6.2
132,Teenage Mutant Ninja Turtles,"$191,204,754","Action, Adventure, Comedy",101.0,5.8
133,Spider-Man: Into the Spider-Verse,"$190,241,310","Animation, Action, Adventure",117.0,8.5
134,Wreck-It Ralph,"$189,422,889","Animation, Adventure, Comedy",101.0,7.7
135,Dunkirk,"$188,373,161","Action, Drama, History",106.0,7.9
136,A Quiet Place,"$188,024,361","Drama, Horror, Sci-Fi",80.0,6.6
138,Interstellar,"$188,020,017","Adventure, Drama, Sci-Fi",169.0,8.6
139,The Croods,"$187,168,425","Animation, Action, Adventure",98.0,7.2
140,Sherlock Holmes: A Game of Shadows,"$186,848,418","Action, Adventure, Mystery",129.0,7.5
141,Pitch Perfect 2,"$184,296,230","Comedy, Music",115.0,6.4
142,The Revenant,"$183,637,894","Action, Adventure, Biography",156.0,8.0
144,Lincoln,"$182,207,973","Biography, Drama, History",150.0,7.4
145,Thor,"$181,030,624","Action, Adventure, Fantasy",115.0,7.0
146,Ant-Man,"$180,202,163","Action, Adventure, Comedy",117.0,7.3
147,Men in Black 3,"$179,020,854","Action, Adventure, Comedy",106.0,6.8
148,Home,"$177,397,510","Animation, Adventure, Comedy",76.0,6.0
156,How to Train Your Dragon 2,"$177,002,924","Animation, Action, Adventure",102.0,7.8
157,Rise of the Planet of the Apes,"$176,760,185","Action, Drama, Sci-Fi",105.0,7.6
158,Captain America: The First Avenger,"$176,654,505","Action, Adventure, Sci-Fi",124.0,6.9
159,The Karate Kid,"$176,591,618","Action, Drama, Family",140.0,6.2
160,Get Out,"$176,040,665","Horror, Mystery, Thriller",104.0,7.7
161,The Lego Batman Movie,"$175,750,384","Animation, Action, Comedy",104.0,7.3
162,Us,"$175,084,580","Horror, Mystery, Thriller",92.0,5.3
165,The Boss Baby,"$175,003,033","Animation, Adventure, Comedy",97.0,6.3
