,Movie Title,Gross Revenue (USD),Genre,Runtime (min),IMDB Rating
1022,Super Troopers 2,"$30,617,396","Comedy, Crime, Mystery",99.0,6.1
1023,Deliver Us from Evil,"$30,577,122","Horror, Mystery, Thriller",118.0,6.2
1024,Holmes & Watson,"$30,573,626","Comedy, Crime, Mystery",90.0,3.8
1025,Slender Man,"$30,569,484","Horror, Mystery, Thriller",93.0,3.2
1027,The Sitter,"$30,538,669",Comedy,81.0,5.7
1029,Get on Up,"$30,513,940","Biography, Drama, Music",139.0,6.9
1030,The Mountain Between Us,"$30,348,555","Action, Adventure, Drama",112.0,6.4
1031,Underworld: Blood Wars,"$30,348,260","Action, Adventure, Fantasy",91.0,5.8
1032,Long Shot,"$30,316,271","Comedy, Romance",125.0,7.2
1033,Life,"$30,234,022","Horror, Sci-Fi, Thriller",75.0,7.8
1036,How Do You Know,"$30,212,620","Comedy, Drama, Romance",121.0,5.4
1037,When the Game Stands Tall,"$30,127,963","Drama, Sport",115.0,6.7
1038,"Hail, Caesar!","$30,080,225","Comedy, Drama, Music",106.0,6.3
1039,The Iron Lady,"$30,017,992","Biography, Drama",105.0,6.4
1040,"I, Tonya","$30,014,539","Biography, Comedy, Drama",120.0,7.5
1041,Hostiles,"$29,819,114","Drama, Western",74.0,6.6
1043,Grudge Match,"$29,807,260","Comedy, Drama, Sport",113.0,6.4
1044,The Hate U Give,"$29,719,483","Crime, Drama",133.0,7.3
1045,When the Bough Breaks,"$29,703,843","Crime, Drama, Horror",107.0,5.1
1047,Teen Titans Go! To the Movies,"$29,562,341","Animation, Action, Adventure",84.0,6.8
1048,A Walk in the Woods,"$29,467,855","Adventure, Biography, Comedy",104.0,6.3
1049,Nanny McPhee Returns,"$29,197,642","Comedy, Family, Fantasy",109.0,6.1
1050,Priest,"$29,136,626","Action, Horror, Thriller",87.0,5.7
1051,The Mechanic,"$29,121,498","Action, Thriller",93.0,6.6
1052,Chimpanzee,"$28,965,459","Documentary, Family",78.0,7.2
1053,One Direction: This Is Us,"$28,873,374","Documentary, Music",92.0,4.2
1054,Zoolander 2,"$28,848,693","Action, Adventure, Comedy",101.0,4.7
1055,The Five-Year Engagement,"$28,835,528","Comedy, Romance",124.0,6.2
1056,Draft Day,"$28,831,145","Drama, Sport",110.0,6.8
1057,Kick-Ass 2,"$28,795,985","Action, Comedy, Crime",103.0,6.6
1058,Point Break,"$28,782,481","Action, Crime, Sport",114.0,5.3
1059,Molly's Game,"$28,780,744","Biography, Crime, Drama",140.0,7.5
1060,The Nut Job 2: Nutty by Nature,"$28,370,522","Animation, Adventure, Comedy",91.0,5.5
1061,Abduction,"$28,087,155","Action, Mystery, Thriller",106.0,5.1
1065,Happy Death Day 2U,"$28,051,045","Comedy, Horror, Mystery",100.0,6.3
1066,Beastly,"$27,865,571","Drama, Fantasy, Romance",86.0,5.6
1067,Moonlight,"$27,850,912",Drama,111.0,7.4
1068,Logan Lucky,"$27,780,977","Comedy, Crime, Drama",118.0,7.0
1069,Rings,"$27,780,085","Drama, Horror, Mystery",102.0,4.5
1070,The Switch,"$27,758,465","Comedy, Drama, Romance",101.0,6.1
1071,Sinister 2,"$27,736,779","Horror, Mystery, Thriller",97.0,5.3
1072,Oculus,"$27,695,246","Horror, Mystery",104.0,6.5
1073,The Finest Hours,"$27,550,735","Action, Drama, History",117.0,6.8
1074,Florence Foster Jenkins,"$27,370,107","Biography, Comedy, Drama",111.0,6.8
1075,The Last Witch Hunter,"$27,367,660","Action, Adventure, Fantasy",106.0,6.0
1076,Dallas Buyers Club,"$27,298,285","Biography, Drama",117.0,8.0
1077,No Escape,"$27,285,953","Action, Thriller",103.0,6.8
1078,Cloud Atlas,"$27,108,272","Action, Drama, Mystery",172.0,7.4
1079,Home Again,"$27,020,284","Comedy, Drama, Romance",104.0,6.6
1081,Rush,"$26,947,624","Biography, Drama, Sport",123.0,8.1
1084,Hell or High Water,"$26,862,450","Action, Crime, Drama",102.0,7.6
1085,Resident Evil: The Final Chapter,"$26,830,068","Action, Adventure, Horror",107.0,5.6
1086,Ricki and the Flash,"$26,822,144","Comedy, Drama, Music",101.0,5.9
1087,The Best of Me,"$26,761,283","Drama, Romance",118.0,6.7
1088,Ready or Not,"$26,744,177","Comedy, Horror, Mystery",78.0,3.9
1089,Winnie the Pooh,"$26,692,846","Animation, Adventure, Comedy",63.0,7.2
1090,In Like Flynn,"$26,646,175","Action, Adventure",106.0,5.2
1091,The Host,"$26,627,201","Action, Adventure, Drama",125.0,5.9
1093,Machete,"$26,593,646","Action, Crime, Thriller",105.0,6.6
1094,The Forest,"$26,583,369","Horror, Mystery, Thriller",98.0,3.5
1098,The Woman in Black 2: Angel of Death,"$26,496,583","Drama, Horror, Thriller",98.0,4.9
1099,Run All Night,"$26,461,644","Action, Crime, Drama",114.0,6.6
1100,One for the Money,"$26,414,527","Action, Comedy, Crime",91.0,5.3
1101,Ben-Hur,"$26,410,477","Action, Adventure, Drama",123.0,5.7
1102,A Walk Among the Tombstones,"$26,307,600","Action, Crime, Drama",114.0,6.5
1103,Love the Coopers,"$26,284,475","Comedy, Fantasy, Romance",107.0,5.8
1104,Ramona and Beezus,"$26,161,406","Comedy, Drama, Family",103.0,6.6
1105,That Awkward Moment,"$26,049,082","Comedy, Romance",94.0,6.2
1106,Searching,"$26,020,957","Drama, Mystery, Thriller",102.0,7.7
1107,The World's End,"$26,004,851","Action, Comedy, Sci-Fi",109.0,7.0
1108,Leap Year,"$25,918,920","Comedy, Romance",100.0,6.5
1110,Alex Cross,"$25,888,412","Action, Crime, Mystery",101.0,5.1
1111,The Lazarus Effect,"$25,799,043","Horror, Mystery, Sci-Fi",83.0,5.2
1112,You Again,"$25,702,053","Comedy, Romance",105.0,5.8
1113,21 & Over,"$25,682,380",Comedy,93.0,5.9
1114,Her,"$25,568,251","Drama, Romance, Sci-Fi",126.0,8.0
1115,The House,"$25,481,529","Comedy, Crime",109.0,4.6
1119,Ex Machina,"$25,442,958","Drama, Mystery, Sci-Fi",108.0,7.7
1120,Boyhood,"$25,379,975",Drama,165.0,7.9
1121,Top Five,"$25,277,561","Comedy, Romance",102.0,6.4
1122,Katy Perry: Part of Me,"$25,240,988","Documentary, Music",93.0,5.9
1123,Escape Plan,"$25,132,228","Action, Thriller",115.0,6.7
1124,Killer Elite,"$25,124,986","Action, Thriller",116.0,6.5
1125,All the Money in the World,"$25,106,315","Biography, Crime, Drama",132.0,6.8
1126,Winchester,"$25,091,816","Biography, Drama, Fantasy",99.0,5.4
1127,Alpha and Omega,"$25,077,977","Animation, Adventure, Comedy",90.0,5.3
1128,In the Heart of the Sea,"$25,020,758","Action, Adventure, Biography",122.0,6.9
1129,Piranha 3D,"$25,003,155","Comedy, Horror",88.0,5.4
1130,The November Man,"$24,984,868","Action, Thriller",108.0,6.3
1131,Season of the Witch,"$24,827,228","Action, Adventure, Fantasy",95.0,5.4
1132,Our Idiot Brother,"$24,814,830","Comedy, Drama",90.0,6.4
1133,Gifted,"$24,801,212",Drama,,7.0
1136,Lottery Ticket,"$24,708,699",Comedy,99.0,5.0
1137,Leap!,"$24,702,560","Animation, Adventure, Comedy",89.0,6.8
1138,On the Basis of Sex,"$24,622,687","Biography, Drama",120.0,6.9
1139,Don Jon,"$24,477,704","Comedy, Drama, Romance",90.0,6.6
1140,Downsizing,"$24,449,754","Drama, Sci-Fi",135.0,5.7
1141,The Strangers: Prey at Night,"$24,431,472",Horror,85.0,5.2
1142,Sparkle,"$24,397,469","Drama, Music",116.0,5.7
1143,The Spy Next Door,"$24,268,828","Action, Comedy, Family",94.0,5.5
1144,Bridget Jones's Baby,"$24,252,420","Comedy, Drama, Romance",123.0,6.5
1145,Tinker Tailor Soldier Spy,"$24,149,393","Drama, Mystery, Thriller",122.0,7.1
1146,Don't Be Afraid of the Dark,"$24,042,490","Fantasy, Horror, Thriller",99.0,5.6
1147,White Boy Rick,"$24,011,188","Crime, Drama",111.0,6.4
1148,From Paris with Love,"$23,979,741","Action, Crime, Thriller",92.0,6.5
1149,The Losers,"$23,580,735","Action, Adventure, Crime",97.0,6.4
1151,Endless Love,"$23,393,765","Drama, Romance",104.0,6.3
1152,Faster,"$23,240,020","Action, Crime, Drama",98.0,6.5
1153,Pompeii,"$23,219,748","Action, Adventure, Drama",105.0,5.5
1154,Monte Carlo,"$23,186,769","Adventure, Comedy, Family",109.0,5.8
1155,Sanctum,"$23,070,045","Action, Adventure, Drama",108.0,5.9
1156,Whiskey Tango Foxtrot,"$23,049,575","Biography, Comedy, Drama",112.0,6.6
1157,Transcendence,"$23,022,309","Action, Drama, Sci-Fi",98.0,6.1
1159,Fighting with My Family,"$22,958,886","Biography, Comedy, Drama",108.0,7.2
1160,Won't You Be My Neighbor?,"$22,835,787","Documentary, Biography",94.0,8.4
1161,A Dog's Journey,"$22,782,371","Adventure, Comedy, Drama",109.0,7.3
1162,The Gallows,"$22,757,819","Horror, Mystery, Sci-Fi",81.0,4.2
1163,Booksmart,"$22,680,962",Comedy,102.0,7.5
1164,The Incredible Burt Wonderstone,"$22,525,921",Comedy,100.0,5.9
1165,Hitman: Agent 47,"$22,467,450","Action, Crime, Thriller",96.0,5.7
1166,The Bye Bye Man,"$22,377,458","Drama, Fantasy, Horror",96.0,4.3
1167,Stuber,"$22,370,452","Action, Comedy, Crime",105.0,6.1
1168,Project Almanac,"$22,331,028","Drama, Mystery, Sci-Fi",106.0,6.4
1169,Victoria & Abdul,"$22,245,070","Biography, Drama, History",111.0,6.8
1170,Rough Night,"$22,062,200","Comedy, Crime, Thriller",101.0,5.2
1171,Hellboy,"$21,903,748","Action, Adventure, Fantasy",120.0,5.4
1172,My Little Pony: The Movie,"$21,885,107","Animation, Adventure, Comedy",99.0,6.1
1173,The Big Wedding,"$21,784,432","Comedy, Drama, Romance",89.0,5.6
1174,Overlord,"$21,704,844","Action, Adventure, Horror",110.0,6.7
1175,Your Highness,"$21,596,445","Comedy, Fantasy",102.0,5.5
1176,Mud,"$21,590,086",Drama,130.0,7.4
1178,Snowden,"$21,587,519","Biography, Crime, Drama",134.0,7.3
1179,Black or White,"$21,569,041",Drama,121.0,6.6
1180,Baggage Claim,"$21,564,616","Comedy, Romance",96.0,5.1
1181,Just Wright,"$21,520,719","Comedy, Romance, Sport",100.0,5.9
1182,The Way Way Back,"$21,501,098","Comedy, Drama",103.0,7.4
1183,The Book Thief,"$21,488,481","Drama, War",131.0,7.6
1184,The Darkest Hour,"$21,426,805","Action, Adventure, Horror",89.0,4.9
1186,The Place Beyond the Pines,"$21,383,298","Crime, Drama, Thriller",140.0,7.3
1187,Mars Needs Moms,"$21,379,315","Animation, Action, Adventure",88.0,5.4
1188,Skyline,"$21,371,425","Action, Sci-Fi, Thriller",92.0,4.4
1189,Conan the Barbarian,"$21,295,021","Action, Adventure, Fantasy",113.0,5.2
1190,Dream House,"$21,283,440","Drama, Mystery, Thriller",84.0,6.0
1191,Mechanic: Resurrection,"$21,218,403","Action, Adventure, Thriller",98.0,5.7
1192,"As Above, So Below","$21,197,315","Horror, Mystery, Thriller",93.0,6.2
1193,The Next Three Days,"$21,148,651","Action, Crime, Drama",133.0,7.4
1194,The Disaster Artist,"$21,120,616","Biography, Comedy, Drama",104.0,7.4
1195,Phantom Thread,"$21,023,275","Drama, Romance",130.0,7.5
1196,Aloha,"$20,991,497","Comedy, Drama, Romance",105.0,5.4
1197,Proud Mary,"$20,868,638","Action, Crime, Drama",89.0,4.9
1198,The Kids Are All Right,"$20,811,365","Comedy, Drama, Romance",106.0,7.0
1199,Blair Witch,"$20,777,061","Horror, Mystery, Thriller",89.0,5.0
1200,God's Not Dead 2,"$20,773,070",Drama,120.0,4.4
1201,Free State of Jones,"$20,758,378","Action, Biography, Drama",139.0,6.9
1202,Sleepless,"$20,757,977","Action, Crime, Thriller",95.0,5.6
1204,The Happytime Murders,"$20,706,452","Action, Comedy, Crime",91.0,5.3
1205,Diary of a Wimpy Kid: The Long Haul,"$20,638,993","Comedy, Family",91.0,4.4
1206,Keanu,"$20,566,327","Action, Comedy, Crime",100.0,6.3
1207,SuperFly,"$20,545,116","Action, Crime, Thriller",116.0,5.0
1208,The Circle,"$20,476,391","Drama, Sci-Fi, Thriller",144.0,5.9
1213,The Three Musketeers,"$20,377,913","Action, Adventure, Fantasy",110.0,5.8
1215,Brick Mansions,"$20,285,518","Action, Crime, Thriller",90.0,5.7
1216,Premium Rush,"$20,275,446","Action, Thriller",91.0,6.5
1217,Our Family Wedding,"$20,246,959","Comedy, Romance",103.0,4.9
1218,Country Strong,"$20,218,921","Drama, Music",117.0,6.3
1219,Baahubali 2: The Conclusion,"$20,186,659","Action, Drama",167.0,8.3
1220,Secret in Their Eyes,"$20,180,155","Crime, Drama, Mystery",111.0,6.3
1221,Homefront,"$20,158,492","Action, Crime, Thriller",100.0,6.5
1223,UglyDolls,"$20,150,241","Animation, Adventure, Comedy",87.0,4.5
1224,Big Miracle,"$20,113,965","Biography, Drama, Family",107.0,6.5
1225,Middle School: The Worst Years of My Life,"$19,985,196","Comedy, Family",92.0,6.1
1226,Broken City,"$19,701,164","Action, Crime, Drama",109.0,6.2
1227,Nine Lives,"$19,637,449","Comedy, Drama, Family",87.0,5.3
1228,The Eagle,"$19,490,041","Action, Adventure, Drama",114.0,6.2
1229,Beautiful Creatures,"$19,452,138","Drama, Fantasy, Romance",124.0,6.2
1230,Shaun the Sheep Movie,"$19,375,982","Animation, Adventure, Comedy",85.0,7.4
1231,Runner Runner,"$19,316,646","Crime, Thriller",88.0,5.6
1232,The Secret World of Arrietty,"$19,202,743","Animation, Adventure, Family",94.0,7.6
1233,Race,"$19,097,994","Biography, Drama, Sport",150.0,3.9
1235,"I, Frankenstein","$19,075,290","Action, Fantasy, Sci-Fi",92.0,5.1
1236,Remember Me,"$19,068,240","Drama, Romance",113.0,7.1
1238,The Impossible,"$19,019,882","Drama, History, Thriller",114.0,7.6
1239,Unplanned,"$18,988,743","Biography, Drama",106.0,6.3
1240,Haywire,"$18,942,396","Action, Drama, Thriller",93.0,5.8
1241,Shark Night 3D,"$18,872,522","Horror, Thriller",90.0,4.0
1242,The Legend of Hercules,"$18,848,538","Action, Adventure, Fantasy",99.0,4.2
1243,Still Alice,"$18,754,371",Drama,101.0,7.5
1244,The Choice,"$18,709,066","Drama, Romance",111.0,6.6
1245,Eye in the Sky,"$18,700,837","Action, Drama, Thriller",102.0,7.3
1246,Man on a Ledge,"$18,620,000","Action, Adventure, Crime",102.0,6.6
1247,Chips,"$18,591,819","Action, Comedy, Crime",68.0,6.8
1248,You're Next,"$18,474,268","Horror, Mystery, Thriller",95.0,6.6
1249,A Thousand Words,"$18,438,149","Comedy, Drama",91.0,5.9
1250,Quartet,"$18,390,117","Comedy, Drama",94.0,6.8
1251,Only the Brave,"$18,340,051","Action, Biography, Drama",134.0,7.7
1252,127 Hours,"$18,335,230","Biography, Drama",94.0,7.6
1253,Paranormal Activity: The Ghost Dimension,"$18,300,124","Horror, Mystery, Thriller",88.0,4.6
1254,Fright Night,"$18,298,649","Comedy, Horror",106.0,6.4
1255,Chernobyl Diaries,"$18,119,640","Horror, Mystery, Thriller",86.0,5.0
1256,Call Me by Your Name,"$18,095,701","Drama, Romance",132.0,7.9
1257,Admission,"$18,004,225","Comedy, Drama, Romance",107.0,5.7
1258,Seven Days in Utopia,"$18,000,000","Drama, Sport",100.0,6.1
1259,They Shall Not Grow Old,"$17,956,913","Documentary, History, War",99.0,8.4
1260,Bad Times at the El Royale,"$17,839,115","Crime, Drama, Mystery",141.0,7.1
1261,Going the Distance,"$17,804,299","Comedy, Romance",102.0,6.3
1263,Mother!,"$17,800,004","Drama, Horror, Mystery",121.0,6.6
1264,Bad Santa 2,"$17,782,178","Comedy, Crime, Drama",92.0,5.6
1265,Bears,"$17,769,442","Documentary, Family",78.0,7.4
1266,Steve Jobs,"$17,766,658","Biography, Drama",122.0,7.2
1267,Show Dogs,"$17,744,685","Adventure, Comedy, Family",92.0,3.7
1268,The Perks of Being a Wallflower,"$17,738,570","Drama, Romance",103.0,8.0
1269,Mr. Holmes,"$17,737,646","Drama, Mystery",104.0,6.9
1270,Apollo 18,"$17,686,929","Horror, Mystery, Sci-Fi",86.0,5.2
1271,Nebraska,"$17,654,912","Adventure, Comedy, Drama",115.0,7.7
1272,Parker,"$17,616,641","Action, Crime, Thriller",118.0,6.2
1273,Operation Finale,"$17,612,099","Biography, Drama, History",122.0,6.5
1274,Furry Vengeance,"$17,596,256","Comedy, Family",92.0,3.8
1275,"Paul, Apostle of Christ","$17,560,475","Adventure, Biography, Drama",108.0,6.7
1276,Free Solo,"$17,541,090","Documentary, Adventure, Sport",100.0,8.2
1277,Enough Said,"$17,536,788","Comedy, Drama, Romance",93.0,7.0
1278,Silent Hill: Revelation,"$17,529,157",Horror,95.0,5.0
1279,Summer '03,"$17,521,754","Comedy, Drama, Romance",95.0,5.4
1280,Father Figures,"$17,501,244","Comedy, Drama",113.0,5.5
1282,Sorry to Bother You,"$17,493,096","Comedy, Fantasy, Sci-Fi",111.0,7.0
1283,Dope,"$17,474,107","Comedy, Crime, Drama",103.0,7.2
1284,The Zookeeper's Wife,"$17,445,186","Biography, Drama, History",127.0,7.0
1285,Dark Skies,"$17,411,930","Horror, Sci-Fi, Thriller",97.0,6.3
1286,Chappaquiddick,"$17,395,520","Drama, History, Thriller",106.0,6.5
1287,Addicted,"$17,382,982","Drama, Thriller",106.0,5.2
1288,Masterminds,"$17,356,894","Comedy, Crime",89.0,5.1
1290,A Haunted House 2,"$17,329,486","Comedy, Fantasy",86.0,4.7
1291,Brightburn,"$17,300,439","Drama, Horror, Mystery",90.0,6.5
1292,The Glass Castle,"$17,273,059","Biography, Drama",127.0,7.2
1293,A Most Wanted Man,"$17,237,244","Crime, Drama, Thriller",122.0,6.8
1294,Wanderlust,"$17,225,675","Comedy, Romance",98.0,5.6
1295,Seventh Son,"$17,223,265","Action, Adventure, Fantasy",102.0,5.5
1296,Safe,"$17,142,080","Action, Crime, Thriller",94.0,6.5
1298,Norm of the North,"$17,017,118","Animation, Adventure, Comedy",90.0,3.6
1299,The Counselor,"$16,973,715","Crime, Drama, Thriller",117.0,5.3
1300,The Thing,"$16,928,670","Horror, Mystery, Sci-Fi",103.0,6.2
1301,The Farewell,"$16,877,010","Comedy, Drama",98.0,7.1
1302,Flatliners,"$16,866,403","Drama, Horror, Mystery",109.0,5.2
1303,The Kid Who Would Be King,"$16,790,790","Action, Adventure, Family",120.0,6.0
1304,Detroit,"$16,790,139","Crime, Drama, History",143.0,7.4
1305,To Rome with Love,"$16,685,867","Comedy, Music, Romance",112.0,6.3
1306,Missing Link,"$16,649,539","Animation, Adventure, Comedy",94.0,7.0
1307,Mary Queen of Scots,"$16,468,499","Biography, Drama, History",119.0,5.5
1309,Monkey Kingdom,"$16,427,836",Documentary,81.0,7.3
1310,The Master,"$16,377,274",Drama,138.0,7.1
1313,Forever My Girl,"$16,376,066","Drama, Music, Romance",108.0,6.7
1314,Young Adult,"$16,311,571","Comedy, Drama",94.0,6.3
1315,Begin Again,"$16,170,632","Comedy, Drama, Music",68.0,7.0
1317,Jobs,"$16,117,443","Biography, Drama",128.0,5.9
1318,Fruitvale Station,"$16,097,842","Biography, Crime, Drama",85.0,7.5
1319,The Transporter Refueled,"$16,029,670","Action, Adventure, Thriller",96.0,5.2
1320,The Raven,"$16,008,272","Crime, Mystery, Thriller",110.0,6.4
1321,The Single Moms Club,"$15,986,272","Comedy, Drama",111.0,5.3
1322,Mortal Engines,"$15,951,040","Action, Adventure, Fantasy",128.0,6.1
1323,The Birth of a Nation,"$15,858,754","Biography, Drama, History",120.0,6.4
1324,Devil's Due,"$15,818,967","Horror, Mystery, Thriller",89.0,4.1
1325,Eddie the Eagle,"$15,785,632","Biography, Comedy, Drama",106.0,7.4
1326,Hunter Killer,"$15,767,460","Action, Adventure, Thriller",122.0,6.6
1327,The Man with the Iron Fists,"$15,634,090",Action,95.0,5.4
1328,A Beautiful Planet,"$15,552,381",Documentary,46.0,7.4
1329,The Ghost Writer,"$15,541,549","Drama, Mystery, Thriller",128.0,7.2
1330,Late Night,"$15,499,454","Comedy, Drama",102.0,5.9
1331,The Infiltrator,"$15,425,870","Biography, Crime, Drama",127.0,7.0
1332,African Cats,"$15,415,270","Documentary, Adventure",89.0,7.6
1333,About Time,"$15,322,921","Comedy, Drama, Fantasy",123.0,7.8
1334,And So It Goes,"$15,155,772","Comedy, Drama, Romance",94.0,5.8
1335,Killing Them Softly,"$15,026,056","Crime, Drama, Thriller",97.0,6.2
1336,Seven Psychopaths,"$15,024,049","Comedy, Crime",110.0,7.2
1337,Miss Bala,"$15,006,824","Action, Crime, Drama",113.0,6.5
1339,Judy Moody and the Not Bummer Summer,"$15,000,994","Comedy, Family",91.0,4.3
1340,If Beale Street Could Talk,"$14,915,773","Drama, Romance",119.0,7.2
1341,Step Up All In,"$14,904,384","Drama, Music, Romance",112.0,6.0
1342,Keeping Up with the Joneses,"$14,896,798","Action, Comedy",105.0,5.9
1343,The Prodigy,"$14,856,291","Horror, Thriller",92.0,5.9
1344,The Girl in the Spider's Web,"$14,841,338","Action, Crime, Drama",115.0,6.1
1345,The Possession of Hannah Grace,"$14,837,422","Horror, Mystery, Thriller",86.0,5.2
1346,The Case for Christ,"$14,678,714","Biography, Drama",112.0,6.2
1347,Room,"$14,677,674","Drama, Thriller",118.0,8.2
1348,It Follows,"$14,673,301","Horror, Mystery, Thriller",100.0,6.9
1349,My Soul to Take,"$14,637,490","Horror, Mystery, Thriller",107.0,4.8
1350,Beyond the Lights,"$14,618,727","Drama, Music, Romance",116.0,6.9
1351,My Week with Marilyn,"$14,600,347","Biography, Drama",99.0,7.0
1352,To the Arctic 3D,"$14,550,397",Documentary,40.0,6.6
1353,Big Eyes,"$14,479,776","Biography, Crime, Drama",106.0,7.0
1355,America: Imagine the World Without Her,"$14,444,502",Documentary,105.0,5.5
1356,"Hello, My Name Is Doris","$14,443,077","Comedy, Drama, Romance",90.0,6.6
1357,American Ultra,"$14,434,604","Action, Comedy",96.0,6.1
1358,Woodlawn,"$14,393,862","Drama, Sport",123.0,6.5
1359,Lockout,"$14,326,864","Action, Adventure, Sci-Fi",95.0,6.1
1360,Wish Upon,"$14,301,505","Drama, Fantasy, Horror",90.0,5.0
1361,Criminal,"$14,268,533","Action, Sci-Fi, Thriller",113.0,6.3
1362,The Edge of Seventeen,"$14,260,193","Comedy, Drama",104.0,7.3
1363,Spring Breakers,"$14,123,773","Crime, Drama",94.0,5.3
1364,Borg vs. McEnroe,"$14,113,354","Biography, Drama, Sport",107.0,7.0
1365,RBG,"$14,017,361","Documentary, Biography",98.0,7.5
1366,Love & Friendship,"$14,013,564","Comedy, Drama, Romance",90.0,6.4
1367,What's Your Number?,"$14,008,193","Comedy, Romance",106.0,6.1
1368,Left Behind,"$13,998,282","Action, Drama, Fantasy",86.0,6.5
1370,Jackie,"$13,958,679","Biography, Drama, History",100.0,6.7
1373,The Cool Kids,"$13,920,018",Thriller,,7.6
1374,One Day,"$13,843,771","Drama, Romance",107.0,7.0
1380,Born in China,"$13,830,237",Documentary,79.0,7.2
1381,Repo Men,"$13,794,835","Action, Sci-Fi, Thriller",111.0,6.3
1382,Sin City: A Dame to Kill For,"$13,757,804","Action, Crime, Thriller",102.0,6.5
1383,Hit and Run,"$13,746,550","Action, Comedy",100.0,6.1
1384,Warrior,"$13,657,115","Drama, Sport",140.0,8.2
1385,Burnt,"$13,650,738","Comedy, Drama",101.0,6.6
1386,Poms,"$13,631,124","Comedy, Drama, Sport",91.0,5.2
1387,Eighth Grade,"$13,539,709","Comedy, Drama",93.0,7.5
1388,Dredd,"$13,414,714","Action, Crime, Sci-Fi",95.0,7.1
1389,Megan Leavey,"$13,406,304","Biography, Drama, War",116.0,7.1
1390,Labor Day,"$13,362,308","Drama, Romance, Thriller",111.0,6.9
1391,The Tree of Life,"$13,303,319","Drama, Fantasy",139.0,6.8
1392,Inside Llewyn Davis,"$13,235,319","Comedy, Drama, Music",104.0,7.5
1393,The Intouchables,"$13,182,281","Biography, Comedy, Drama",112.0,8.5
1394,The Peanut Butter Falcon,"$13,122,642","Comedy, Drama, Sport",93.0,7.0
1395,Playing for Keeps,"$13,101,142","Comedy, Romance, Sport",105.0,5.7
1396,The Rum Diary,"$13,100,042","Comedy, Drama",119.0,6.2
1397,Hillary's America: The Secret History of the Democratic Party,"$13,096,535","Documentary, Biography, History",106.0,5.4
1398,Whiplash,"$13,092,000","Drama, Music",106.0,8.5
1399,Do You Believe?,"$12,985,267",Drama,120.0,6.1
1401,The Collection,"$12,842,058","Action, Adventure, Crime",82.0,6.1
1402,Anna Karenina,"$12,816,367","Drama, Romance",129.0,6.6
1403,Beasts of the Southern Wild,"$12,795,746","Adventure, Drama, Fantasy",93.0,7.3
1404,The Founder,"$12,786,053","Biography, Drama",108.0,5.9
1406,Carol,"$12,711,491","Drama, Romance",118.0,7.2
1407,The Darkest Minds,"$12,695,691","Action, Adventure, Drama",104.0,5.7
1408,Battle of the Sexes,"$12,638,526","Biography, Comedy, Drama",121.0,6.7
1409,Triple 9,"$12,626,905","Action, Crime, Thriller",115.0,6.3
1410,Silent House,"$12,555,230","Drama, Horror, Mystery",86.0,5.3
1411,Love & Mercy,"$12,547,189","Biography, Drama, Music",121.0,7.4
1412,The Light Between Oceans,"$12,545,979","Drama, Romance",133.0,7.2
1413,Cirque du Soleil: Worlds Away,"$12,495,865",Fantasy,91.0,6.8
1414,Strange Magic,"$12,427,046","Animation, Adventure, Comedy",99.0,5.8
1415,People Like Us,"$12,412,386","Comedy, Drama",114.0,7.1
1417,Dangal,"$12,391,761","Action, Biography, Drama",161.0,8.5
1419,Three Identical Strangers,"$12,320,845","Documentary, Biography, Drama",96.0,7.7
1420,Hot Tub Time Machine 2,"$12,282,677","Comedy, Mystery, Sci-Fi",93.0,5.1
1421,Self/less,"$12,276,810","Action, Mystery, Sci-Fi",117.0,6.5
1422,Before I Fall,"$12,230,791","Drama, Fantasy, Mystery",98.0,6.4
1423,Far from the Madding Crowd,"$12,229,314","Drama, Romance",119.0,7.1
1424,The 33,"$12,188,642","Biography, Drama, History",127.0,6.9
1425,After,"$12,138,565","Drama, Romance",99.0,4.7
1429,Let Me In,"$12,134,420","Drama, Fantasy, Horror",116.0,7.1
1431,Foxcatcher,"$12,096,300","Biography, Drama, Sport",134.0,7.0
1432,The Last Stand,"$12,050,299","Action, Thriller",107.0,6.4
1433,The Kitchen,"$12,049,257","Action, Crime, Drama",80.0,5.0
1435,Upgrade,"$11,977,130","Action, Horror, Sci-Fi",100.0,7.6
1437,"Roman J. Israel, Esq.","$11,962,712","Crime, Drama, Thriller",122.0,6.4
1438,Blinded by the Light,"$11,901,145","Comedy, Drama, Music",117.0,6.2
1439,Glee: The 3D Concert Movie,"$11,860,839","Documentary, Music",84.0,5.4
1440,Extraordinary Measures,"$11,854,694",Drama,106.0,6.5
1441,Padmaavat,"$11,846,060","Drama, History, Romance",164.0,7.0
1442,Fifty Shades of Black,"$11,675,178",Comedy,92.0,3.5
1443,Gone,"$11,653,123","Action, Adventure, Mystery",85.0,6.5
1447,The Conspirator,"$11,538,204","Crime, Drama, History",122.0,6.9
1448,No manches Frida,"$11,514,388","Comedy, Romance",114.0,5.6
1449,The Words,"$11,494,838","Drama, Mystery, Romance",102.0,7.1
1450,Out of the Furnace,"$11,326,836","Action, Crime, Drama",116.0,6.8
1451,The Old Man & the Gun,"$11,277,120","Biography, Comedy, Crime",93.0,6.8
1452,Unforgettable,"$11,274,490","Drama, Thriller",88.0,5.9
1456,Jane Eyre,"$11,242,660","Drama, Romance",120.0,7.4
